name,code,Population,10/03/2020,11/03/2020,12/03/2020,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020,05/04/2020,06/04/2020,07/04/2020,08/04/2020,09/04/2020,10/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,15/04/2020,16/04/2020,17/04/2020,18/04/2020,19/04/2020,20/04/2020,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,26/04/2020,27/04/2020,28/04/2020,29/04/2020,30/04/2020,01/05/2020,02/05/2020,03/05/2020,04/05/2020,05/05/2020,06/05/2020,07/05/2020,08/05/2020,09/05/2020,10/05/2020,11/05/2020,12/05/2020,13/05/2020,14/05/2020,15/05/2020,16/05/2020,17/05/2020,18/05/2020,19/05/2020,20/05/2020,21/05/2020,22/05/2020,23/05/2020,24/05/2020,25/05/2020,26/05/2020,27/05/2020,28/05/2020,29/05/2020,30/05/2020,31/05/2020,01/06/2020,02/06/2020,03/06/2020,04/06/2020,05/06/2020,06/06/2020,07/06/2020,08/06/2020,09/06/2020,10/06/2020,11/06/2020,12/06/2020,13/06/2020,14/06/2020,15/06/2020,16/06/2020,17/06/2020,18/06/2020,19/06/2020,20/06/2020,21/06/2020,22/06/2020,23/06/2020,24/06/2020,25/06/2020,26/06/2020,27/06/2020,28/06/2020,29/06/2020,30/06/2020,01/07/2020,02/07/2020,03/07/2020,04/07/2020,05/07/2020,06/07/2020,07/07/2020,08/07/2020,09/07/2020,10/07/2020,11/07/2020,12/07/2020,13/07/2020,14/07/2020,15/07/2020,16/07/2020,17/07/2020,18/07/2020,19/07/2020,20/07/2020,21/07/2020,22/07/2020,23/07/2020,24/07/2020,25/07/2020,26/07/2020,27/07/2020,28/07/2020,29/07/2020,30/07/2020,31/07/2020,01/08/2020,02/08/2020,03/08/2020,04/08/2020,05/08/2020
Guernsey,GGY1,62792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,78,91,97,114,114,154,154,166,166,181,191,200,209,218,219,228,228,232,236,239,239,239,239,239,241,243,245,247,247,247,251,251,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252
Isle of Man,IM1,83316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,60,65,95,114,126,127,127,150,158,171,190,204,226,232,242,256,283,289,297,298,300,300,307,307,307,308,308,308,309,313,315,318,321,321,321,325,326,329,329,330,330,330,330,331,332,332,332,335,335,335,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336
Jersey,JEY1,106800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,81,81,96,118,118,118,155,169,170,170,183,198,198,213,217,217,219,223,245,249,249,249,250,255,276,276,278,283,284,286,286,289,292,292,293,293,293,293,293,293,294,294,295,296,296,296,296,302,303,303,306,306,306,306,306,307,307,308,308,308,308,308,308,308,309,309,309,311,311,312,313,313,313,313,313,313,316,316,318,318,318,318,318,318,318,319,319,319,319,319,319,319,319,320,320,320,320,325,325,325,325,325,325,325,325,329,329,331,331,331,331,331,331,331,331,332,332,332,334,335,335,335,335,335,335,339,343,344
Antrim and Newtownabbey,N09000001,142492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,34,36,47,51,59,59,59,70,70,81,81,117,117,117,117,125,149,156,174,174,174,174,174,,,,,,,,,,,,,306,318,325,335,340,341,346,351,355,358,359,359,359,366,371,371,371,371,372,377,378,382,384,390,391,405,405,405,407,407,408,408,408,409,409,410,410,410,410,410,410,410,410,410,410,410,410,410,412,413,413,413,456,459,459,459,459,459,459,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,462,463,463
"Armagh City, Banbridge and Craigavon",N09000002,214090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,36,36,53,62,70,79,91,91,91,109,109,135,135,157,157,157,157,204,220,246,269,269,269,269,269,,,,,,,,,,,,,392,397,401,403,416,423,431,431,439,460,464,464,464,478,479,480,481,487,487,493,500,502,509,518,521,532,532,532,533,533,536,536,537,538,538,538,538,538,538,539,540,540,540,541,541,541,541,541,541,541,541,541,748,748,748,748,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,750,750,751,751,753,753,753,755,759,760,760,761,761,761,764,764,764
Belfast,N09000003,341877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,96,96,96,160,166,200,226,272,272,272,377,377,429,429,514,514,514,514,581,649,689,719,719,719,719,719,,,,,,,,,,,,,1182,1190,1203,1217,1224,1237,1243,1248,1252,1258,1264,1264,1264,1276,1283,1286,1290,1294,1299,1301,1302,1308,1312,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1314,1316,1317,1318,1319,1319,1319,1322,1322,1322,1324,1324,1325,1325,1325,1325,1325,1326,1406,1411,1411,1411,1411,1412,1412,1413,1413,1413,1413,1413,1413,1414,1414,1415,1415,1415,1420,1420,1420,1420,1424,1424,1427,1430,1430,1431,1432,1436,1436,1436,1436,1424,1425,1427,1429,1429,1429,1432,1432,1433
Causeway Coast and Glens,N09000004,144246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,11,16,18,19,21,21,21,26,26,35,35,63,63,63,63,81,98,103,116,116,116,116,116,,,,,,,,,,,,,158,162,167,169,174,174,177,180,181,181,181,181,181,181,183,183,186,189,193,199,205,213,216,220,224,238,242,242,243,243,243,247,248,248,248,248,248,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,281,290,295,295,299,301,302,305,305,304,304,304,310,311,312,312,314,314,314,319,320,320
Derry City and Strabane,N09000005,150679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,23,24,29,30,35,35,35,51,51,52,52,77,77,77,77,100,133,144,146,146,146,146,146,,,,,,,,,,,,,153,153,155,155,155,157,157,157,158,162,162,162,162,162,163,163,163,163,163,164,164,164,164,166,166,166,166,166,166,166,166,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,216,224,224,225,226,226,226,226,226,226,226,231,230,231,231,231,231,231,231,231,231
Fermanagh and Omagh,N09000006,116835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,27,29,32,37,40,40,40,42,42,43,43,52,52,52,52,56,61,61,61,61,61,61,61,,,,,,,,,,,,,73,73,74,75,75,75,77,77,78,78,78,78,78,78,78,79,79,80,80,81,81,81,81,81,81,81,81,82,82,82,82,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,179,179,179,179,179,179,179,179,180,180,180,180,180,180,180,180,180,180,180,180,180,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,182,182,182
Lisburn and Castlereagh,N09000007,144381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,36,36,66,70,81,97,109,109,109,130,130,150,150,181,181,181,181,201,221,232,241,241,241,241,241,,,,,,,,,,,,,373,374,375,380,382,382,384,388,392,395,402,402,402,408,414,418,421,425,428,432,434,436,436,436,439,439,439,437,438,439,440,440,440,441,442,444,444,446,446,448,449,450,453,453,453,453,453,453,453,453,453,453,505,508,509,510,512,512,512,512,512,512,512,513,515,516,516,517,517,517,517,517,517,517,517,517,518,518,518,519,521,524,524,524,524,525,525,525,525,525,525,525,526,528
Mid and East Antrim,N09000008,138773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,28,32,36,37,46,46,46,59,59,70,70,102,102,102,102,132,136,144,160,160,160,160,160,,,,,,,,,,,,,259,263,268,271,271,275,280,281,282,284,287,287,287,292,292,293,293,293,296,298,301,305,310,312,316,326,326,326,326,326,326,327,327,327,327,327,327,327,329,331,331,332,332,332,332,332,332,332,334,334,334,334,379,387,388,388,389,389,389,389,389,389,389,389,389,389,390,390,390,390,393,394,395,395,396,396,396,400,400,401,404,404,404,404,406,409,411,411,413,413,413,423,426,427
Mid Ulster,N09000009,147392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,16,17,19,21,23,23,23,33,33,47,47,73,73,73,73,94,106,111,119,119,119,119,119,,,,,,,,,,,,,149,151,159,160,164,174,175,175,180,191,196,196,196,204,207,210,211,215,217,219,220,227,230,233,239,248,250,250,250,250,251,252,252,252,253,253,253,255,255,257,257,257,257,257,257,257,257,257,257,257,257,257,412,412,412,412,412,412,412,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,414,415,416
"Newry, Mourne and Down",N09000010,180012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,41,44,51,55,61,61,61,76,76,82,82,102,102,102,102,123,127,132,140,140,140,140,140,,,,,,,,,,,,,231,232,233,237,237,240,242,244,249,250,254,254,254,254,259,261,262,269,270,277,277,282,284,285,287,288,288,288,288,288,288,289,289,289,289,289,291,291,291,291,291,291,291,291,291,292,293,293,293,293,293,293,350,356,356,356,357,358,358,362,363,363,363,368,368,368,369,370,370,370,373,374,375,377,377,377,377,377,377,378,380,384,384,384,388,397,400,406,407,407,407,419,420,425
Ards and North Down,N09000011,160864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,33,33,52,61,67,75,81,81,81,102,102,110,110,129,129,129,129,141,154,157,161,161,161,161,161,,,,,,,,,,,,,249,255,259,261,263,276,281,287,293,295,302,302,302,311,322,324,326,336,337,339,343,344,345,347,347,345,349,352,352,353,355,358,359,368,370,371,371,376,377,386,387,388,388,389,395,395,395,395,395,395,395,396,444,450,450,450,451,452,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,454,454,455,455,455,455,455,456,456,456,456,456,456,456,456,456,456