Date,Antrim and Newtownabbey,"Armagh City, Banbridge and Craigavon",Belfast,Causeway Coast and Glens,Derry City and Strabane,Fermanagh and Omagh,Lisburn and Castlereagh,Mid and East Antrim,Mid Ulster,"Newry, Mourne and Down",Ards and North Down
2020-10-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-25,12.632288128456334,16.81535802699799,28.080274484683088,3.466300625320633,3.3183124390260086,15.406342277570934,24.934028715689735,12.970822854589871,3.392314372557534,2.7775926049374484,20.514223194748357
2020-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-30,11.228700558627853,7.940585734971274,18.720182989788725,4.15956075038476,11.945924780493632,7.703171138785467,20.77835726307478,7.206012696994373,7.463091619626574,19.99866675554963,11.811219415158146
2020-03-31,1.4035875698284817,4.203839506749498,1.755017155292693,3.466300625320633,0.6636624878052018,1.7118158086189925,2.7704476350766374,2.882405078797749,0.6784628745115068,1.666555562962469,5.59478814402228
2020-04-04,16.141257053027537,13.545705077303937,31.005303076837578,3.466300625320633,7.300287365857219,9.41498694740446,27.011864441997215,10.08841777579212,4.07077724706904,9.443814856787325,12.432862542271732
2020-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-04,7.719731634056649,8.407679013498996,30.712800217622128,3.466300625320633,10.618599804883228,1.7118158086189925,14.544850084152348,9.367816506092684,6.784628745115068,8.332777814812346,13.05450566938532
2020-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-04,7.719731634056649,12.144425241720771,15.21014867920334,6.239341125577139,0.6636624878052018,0.8559079043094963,13.852238175383189,7.92661396669381,9.498480243161094,3.333111125924938,4.973145016908693
2020-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-04,25.26457625691267,10.276052127609884,24.86274303331315,19.411283501795545,16.591562195130045,7.703171138785467,21.47096917184394,23.059240630381993,17.640034737299175,11.110370419749794,11.811219415158146
2020-11-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-14,5.614350279313927,21.95338409080293,19.59769156743507,12.478682251154279,15.264237219519641,3.423631617237985,13.852238175383189,21.618038090983116,14.24772036474164,11.665888940737284,7.459717525363039
2020-04-15,16.843050837941778,7.473492456443552,19.89019442665052,11.785422126090152,21.90086209757166,4.279539521547481,13.852238175383189,2.882405078797749,8.14155449413808,2.222074083949959,8.081360652476626
2020-04-16,4.912556494399686,12.144425241720771,11.700114368617953,3.466300625320633,7.300287365857219,0.0,7.618730996460753,5.764810157595498,3.392314372557534,2.7775926049374484,1.8649293813407597
2020-04-17,12.632288128456334,10.743145406137605,8.775085776463465,9.012381625833646,1.3273249756104035,0.0,6.233507178922434,11.529620315190996,5.427702996092054,4.444148167899918,2.4865725084543464
2020-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-22,-6.2081757896259715,-6.395584890610354,-10.057598313023535,-5.0661316831609335,-5.666656626644421,-1.382620460807646,-7.032674765963776,-6.3191188265950675,-5.010187381008051,-3.3758433198470623,-3.825496166852845
2020-04-23,-6.2081757896260115,-6.395584890610354,-10.057598313023535,-5.066131683160925,-5.666656626644421,-1.3826204608076582,-7.032674765963776,-6.319118826595088,-5.010187381008061,-3.3758433198470548,-3.8254961668528624
2020-04-24,-6.208175789625952,-6.3955848906103405,-10.057598313023503,-5.066131683160925,-5.666656626644412,-1.382620460807646,-7.032674765963776,-6.319118826595048,-5.010187381008042,-3.3758433198470468,-3.8254961668528273
2020-04-25,-6.2081757896259715,-6.3955848906103405,-10.057598313023469,-5.066131683160914,-5.666656626644403,-1.382620460807646,-7.032674765963776,-6.319118826595057,-5.010187381008042,-3.3758433198470548,-3.825496166852845
2020-04-26,-6.208175789625992,-6.395584890610354,-10.057598313023535,-5.0661316831609335,-5.666656626644431,-1.382620460807646,-7.032674765963757,-6.3191188265950675,-5.010187381008061,-3.3758433198470468,-3.8254961668528273
2020-04-27,-6.208175789625962,-6.3955848906103405,-10.057598313023503,-5.066131683160925,-5.666656626644403,-1.382620460807646,-7.032674765963757,-6.3191188265950675,-5.010187381008042,-3.3758433198470468,-3.825496166852845
2020-04-28,-6.208175789625982,-6.395584890610354,-10.057598313023503,-5.066131683160925,-5.666656626644421,-1.382620460807646,-7.0326747659637965,-6.319118826595057,-5.010187381008051,-3.3758433198470623,-3.825496166852836
2020-04-29,-6.2081757896259715,-6.3955848906103405,-10.057598313023519,-5.066131683160925,-5.666656626644421,-1.382620460807652,-7.032674765963776,-6.3191188265950675,-5.010187381008051,-3.3758433198470548,-3.825496166852845
2020-04-30,-6.2081757896259715,-6.3955848906103405,-10.057598313023503,-5.066131683160925,-5.666656626644412,-1.382620460807646,-7.032674765963776,-6.3191188265950675,-5.010187381008051,-3.3758433198470548,-3.825496166852836
2020-04-05,148.51036171531356,115.01273727440294,225.94720863396444,74.71211040114164,55.64554705443616,22.714478998982788,154.71884485120302,128.21159513959986,65.44557266441765,80.93477528848504,89.1340606876712
2020-05-05,8.421525418970889,2.33546639263861,2.3400228737235906,2.773040500256506,0.0,0.0,0.6926119087691593,2.882405078797749,1.3569257490230135,0.5555185209874898,3.7298587626815194
2020-06-05,4.912556494399686,1.868373114110888,3.802537169800835,3.466300625320633,1.3273249756104035,0.8559079043094963,0.6926119087691593,3.6030063484971864,5.427702996092054,0.5555185209874898,2.4865725084543464
2020-07-05,7.017937849142408,0.934186557055444,4.095040029016284,1.386520250128253,0.0,0.8559079043094963,3.463059543845797,2.1618038090983114,0.6784628745115068,2.222074083949959,1.2432862542271732
2020-08-05,3.508968924571204,6.072212620860386,2.047520014508142,3.466300625320633,0.0,0.0,1.3852238175383187,0.0,2.713851498046027,0.0,1.2432862542271732
2020-09-05,0.7017937849142408,3.2696529496940534,3.802537169800835,0.0,1.3273249756104035,0.0,0.0,2.882405078797749,6.784628745115068,1.666555562962469,8.081360652476626
2020-10-05,3.508968924571204,3.736746228221776,1.755017155292693,2.07978037519238,0.0,1.7118158086189925,1.3852238175383187,3.6030063484971864,0.6784628745115068,1.1110370419749795,3.108215635567933
2020-11-05,3.508968924571204,0.0,1.4625142960772441,2.07978037519238,0.0,0.0,2.7704476350766374,0.7206012696994373,0.0,1.1110370419749795,3.7298587626815194
2020-12-05,2.8071751396569633,3.736746228221776,1.1700114368617953,0.6932601250641265,0.6636624878052018,0.8559079043094963,2.7704476350766374,0.7206012696994373,3.392314372557534,2.7775926049374484,3.7298587626815194
2020-05-13,2.1053813547427223,9.808958849082162,1.755017155292693,0.0,2.654649951220807,0.0,2.077835726307478,1.4412025393988745,7.463091619626574,0.5555185209874898,1.2432862542271732
2020-05-14,0.7017937849142408,1.868373114110888,1.755017155292693,0.0,0.0,0.0,4.848283361384116,2.1618038090983114,3.392314372557534,2.222074083949959,4.351501889795107
2020-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-17,4.912556494399686,6.539305899388107,3.510034310585386,0.0,0.0,0.0,4.155671452614956,3.6030063484971864,5.427702996092054,0.0,5.59478814402228
2020-05-18,3.508968924571204,0.467093278527722,2.047520014508142,1.386520250128253,0.6636624878052018,0.0,4.155671452614956,0.0,2.03538862353452,2.7775926049374484,6.838074398249453
2020-05-19,0.0,0.467093278527722,0.8775085776463465,0.0,0.0,0.8559079043094963,2.7704476350766374,0.7206012696994373,2.03538862353452,1.1110370419749795,1.2432862542271732
2020-05-20,0.0,0.467093278527722,1.1700114368617953,2.07978037519238,0.0,0.0,2.077835726307478,0.0,0.6784628745115068,0.5555185209874898,1.2432862542271732
2020-05-21,0.0,2.802559671166332,1.1700114368617953,2.07978037519238,0.0,0.8559079043094963,2.7704476350766374,0.0,2.713851498046027,3.888629646912428,6.216431271135866
2020-05-22,0.7017937849142408,0.0,1.4625142960772441,2.773040500256506,0.0,0.0,2.077835726307478,2.1618038090983114,1.3569257490230135,0.5555185209874898,0.6216431271135866
2020-05-23,3.508968924571204,2.802559671166332,0.5850057184308977,4.15956075038476,0.6636624878052018,0.8559079043094963,2.7704476350766374,1.4412025393988745,1.3569257490230135,3.888629646912428,1.2432862542271732
2020-05-24,0.7017937849142408,3.2696529496940534,0.29250285921544883,4.15956075038476,0.0,0.0,1.3852238175383187,2.1618038090983114,0.6784628745115068,0.0,2.4865725084543464
2020-05-25,2.8071751396569633,0.934186557055444,1.755017155292693,5.546081000513012,0.0,0.0,1.3852238175383187,2.882405078797749,4.749240121580547,2.7775926049374484,0.6216431271135866
2020-05-26,1.4035875698284817,3.2696529496940534,1.1700114368617953,2.07978037519238,0.0,0.0,0.0,3.6030063484971864,2.03538862353452,1.1110370419749795,0.6216431271135866
2020-05-27,4.2107627094854445,4.203839506749498,0.29250285921544883,2.773040500256506,1.3273249756104035,0.0,0.0,1.4412025393988745,2.03538862353452,0.5555185209874898,1.2432862542271732
2020-05-28,0.7017937849142408,1.401279835583166,0.0,2.773040500256506,0.0,0.0,2.077835726307478,2.882405078797749,4.07077724706904,1.1110370419749795,0.0
2020-05-29,9.825112988799372,5.138026063804942,0.0,9.705641750897772,0.0,0.0,0.0,7.206012696994373,6.106165870603561,0.5555185209874898,-1.2432862542271732
2020-05-30,0.0,0.0,0.0,2.773040500256506,0.0,0.0,0.0,0.0,1.3569257490230135,0.0,2.4865725084543464
2020-05-31,0.0,0.0,0.0,0.0,0.0,0.8559079043094963,-1.3852238175383187,0.0,0.0,0.0,1.8649293813407597
2020-04-06,2.1053813547427223,1.868373114110888,0.0,3.466300625320633,7.300287365857219,3.423631617237985,2.077835726307478,0.7206012696994373,1.3569257490230135,0.5555185209874898,3.7298587626815194
2020-05-06,0.0,0.467093278527722,0.0,0.6932601250641265,0.0,0.0,0.0,0.0,0.0,0.0,0.6216431271135866
2020-06-06,0.7017937849142408,0.467093278527722,0.0,0.0,0.0,0.0,0.6926119087691593,0.0,0.0,0.0,5.59478814402228
2020-07-06,0.0,0.0,0.29250285921544883,0.0,0.0,0.0,0.6926119087691593,0.0,0.6784628745115068,0.0,1.2432862542271732
2020-08-06,0.7017937849142408,0.0,0.5850057184308977,0.0,0.0,0.0,1.3852238175383187,0.0,0.0,0.0,0.6216431271135866
2020-09-06,0.0,0.0,0.29250285921544883,0.0,0.0,0.0,0.0,0.0,0.0,1.1110370419749795,0.0
2020-10-06,0.0,0.0,0.29250285921544883,1.386520250128253,0.0,0.0,1.3852238175383187,0.0,1.3569257490230135,0.0,3.108215635567933
2020-11-06,0.0,0.0,0.29250285921544883,0.0,0.0,0.0,0.0,1.4412025393988745,0.0,0.0,0.6216431271135866
2020-12-06,0.0,0.467093278527722,0.0,0.0,0.0,0.0,1.3852238175383187,1.4412025393988745,1.3569257490230135,0.0,5.59478814402228
2020-06-13,0.0,0.467093278527722,0.0,0.0,0.0,0.0,0.6926119087691593,0.0,0.0,0.0,0.6216431271135866
2020-06-14,0.0,0.0,0.8775085776463465,0.0,0.0,0.0,0.6926119087691593,0.7206012696994373,0.0,0.0,0.6216431271135866
2020-06-15,0.0,0.0,0.0,0.0,0.0,0.0,2.077835726307478,0.0,0.0,0.0,0.0
2020-06-16,0.0,0.467093278527722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6216431271135866
2020-06-17,0.0,0.0,0.5850057184308977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7298587626815194
2020-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555185209874898,0.0
2020-06-19,0.0,0.0,0.29250285921544883,0.0,0.0,0.0,0.0,0.0,0.0,0.5555185209874898,0.0
2020-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-21,1.4035875698284817,0.0,0.0,0.0,0.0,0.0,0.0,1.4412025393988745,0.0,0.0,0.0
2020-06-22,0.7017937849142408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-24,0.0,0.0,0.29250285921544883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6216431271135866
2020-06-25,30.177132751312357,96.68830865523844,23.400228737235906,18.02476325166729,23.228187073182063,79.59943510078315,36.01581925599629,32.42705713647467,105.16174554928354,31.664555696286918,29.838870101452155
2020-06-26,2.1053813547427223,0.0,1.4625142960772441,0.0,0.0,0.0,2.077835726307478,5.764810157595498,0.0,3.333111125924938,3.7298587626815194
2020-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.6926119087691593,0.7206012696994373,0.0,0.0,0.0
2020-06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.6926119087691593,0.0,0.0,0.0,0.0
2020-06-29,0.0,0.467093278527722,0.0,0.0,0.0,0.0,1.3852238175383187,0.7206012696994373,0.0,0.5555185209874898,0.6216431271135866
2020-06-30,0.0,0.0,0.29250285921544883,0.0,0.0,0.0,0.0,0.0,0.0,0.5555185209874898,0.6216431271135866
2020-04-07,0.7017937849142408,0.0,0.29250285921544883,0.0,0.0,0.8559079043094963,0.0,0.0,0.6784628745115068,2.7775926049374484,0.6216431271135866
2020-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.6926119087691593,0.0,0.0,2.7775926049374484,0.0
2020-07-07,0.0,0.0,0.0,0.0,0.0,0.0,1.3852238175383187,0.0,0.0,0.0,0.0
2020-08-07,0.0,0.0,0.29250285921544883,0.0,0.0,0.0,0.6926119087691593,0.0,0.0,0.0,0.0
2020-09-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7206012696994373,0.0,0.5555185209874898,0.0
2020-10-07,0.0,0.0,0.29250285921544883,0.0,0.0,0.0,0.6926119087691593,0.0,0.0,0.5555185209874898,0.0
2020-11-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-13,0.0,0.0,1.4625142960772441,0.0,0.0,0.0,0.0,2.1618038090983114,0.0,1.666555562962469,0.0
2020-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7206012696994373,0.0,0.5555185209874898,0.0
2020-07-15,0.0,0.0,0.0,3.466300625320633,0.0,0.0,0.0,0.7206012696994373,0.0,0.5555185209874898,0.0
2020-07-16,0.0,0.0,0.0,6.239341125577139,2.654649951220807,0.8559079043094963,0.0,0.0,0.0,1.1110370419749795,0.0
2020-07-17,0.0,0.0,1.1700114368617953,3.466300625320633,5.309299902441614,0.0,0.0,0.7206012696994373,0.0,0.0,0.0
2020-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-19,0.0,0.0,0.8775085776463465,2.773040500256506,0.6636624878052018,0.0,0.6926119087691593,0.0,0.0,0.0,0.0
2020-07-20,0.0,0.467093278527722,0.8775085776463465,1.386520250128253,0.6636624878052018,0.0,0.0,2.882405078797749,0.0,0.0,0.6216431271135866
2020-07-21,0.0,0.0,0.0,0.6932601250641265,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-22,0.0,0.467093278527722,0.29250285921544883,2.07978037519238,0.0,0.0,0.6926119087691593,0.7206012696994373,0.0,0.5555185209874898,0.6216431271135866
2020-07-23,0.0,0.0,0.29250285921544883,0.0,0.0,0.0,1.3852238175383187,2.1618038090983114,0.0,1.1110370419749795,0.0
2020-07-24,0.0,0.934186557055444,1.1700114368617953,-0.6932601250641265,0.0,0.0,2.077835726307478,0.0,0.0,2.222074083949959,0.0
2020-07-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-27,0.0,0.934186557055444,0.0,4.15956075038476,3.3183124390260086,0.0,0.0,1.4412025393988745,0.0,2.222074083949959,0.6216431271135866
2020-07-28,0.0,1.868373114110888,-3.510034310585386,0.6932601250641265,-0.6636624878052018,0.0,0.6926119087691593,2.1618038090983114,0.0,4.999666688887407,0.0
2020-07-29,0.0,0.467093278527722,0.29250285921544883,0.6932601250641265,0.6636624878052018,0.0,0.0,1.4412025393988745,0.0,1.666555562962469,0.0
2020-07-30,0.0,0.0,0.5850057184308977,0.0,0.0,0.0,0.0,0.0,0.0,3.333111125924938,0.0
2020-07-31,0.0,0.467093278527722,0.5850057184308977,1.386520250128253,0.0,0.0,0.0,1.4412025393988745,0.0,0.5555185209874898,0.0
2020-04-08,2.1053813547427223,1.401279835583166,0.8775085776463465,4.15956075038476,0.0,0.8559079043094963,0.6926119087691593,9.367816506092684,1.3569257490230135,7.221740772837366,0.0
2020-05-08,0.0,0.0,0.29250285921544883,0.0,0.0,0.0,1.3852238175383187,0.7206012696994373,0.6784628745115068,2.7775926049374484,0.0
